sight_range,codebook_size,aux_coef,n,returns,test_returns,aux_loss,raw_align_l2,token_entropy,attn_entropy,self_attn,comm_norm,train_test_gap
-1.0,1,0.0,3,-25.117200309461584,-43.70238431294759,1.1055530335733799,5.0608031502186925,0.0,0.49402645653714244,0.8040633458908789,5.283011493787089,18.58518400348601
-1.0,1,0.001,3,-25.28730653022808,-48.72878284141666,1.1131704195601042,4.363445986815489,0.0,0.5193006616146838,0.7836025125993406,4.332932955580332,23.44147631118858
-1.0,1,0.01,3,-30.30797951599288,-38.593398912356854,0.709888222113333,1.1224632634491216,0.0,0.6751617883723942,0.4514929011382692,9.18919312530528,8.285419396363974
-1.0,1,0.1,3,-39.631748731019066,-39.769801353496284,0.06485667748407263,0.0638001910843403,0.0,1.022939831832719,0.32930968766981134,53.04367418758205,0.13805262247721828
-1.0,1,0.2,3,-38.37232420874424,-38.45146781629552,0.03220009965099435,0.03159925000121196,0.0,1.082256915790787,0.32579147091003063,21.043433621932902,0.07914360755128058
-1.0,1,0.5,3,-46.34636013885665,-46.389478204028855,0.014056747729630498,0.013966613855019539,0.0,1.040314048365817,0.3315856456756592,71.69657236109667,0.043118065172201625
-1.0,1,0.8,3,-42.563628108123616,-42.59835613229887,0.016312704173481612,0.01623921254217177,0.0,1.0641210655697055,0.33157411030407163,20.431884012587087,0.03472802417525145
-1.0,1,1.0,3,-44.73710652127292,-44.71745960047988,0.005174997437597746,0.005146739018388866,0.0,1.0902753338787725,0.33189720184099475,38.855160311923,-0.01964692079304342
-1.0,2,0.0,3,-24.84528470169651,-43.37964766663932,1.179668378634531,4.923953616553969,0.4493301847919089,0.5139455344181895,0.7889378179943627,4.718133917271765,18.53436296494281
-1.0,4,0.0,3,-25.652283861337462,-48.531567995665505,1.5622848259295268,5.314582538083603,0.8159169396741794,0.5715897541717102,0.7558596572263645,4.567512578651553,22.879284134328042
-1.0,8,0.0,3,-25.314192480076855,-45.85566557170264,1.4657155526140349,4.853555715800635,1.2672898828006183,0.5792513826831441,0.7519138973267352,3.8041300682422245,20.541473091625782
-1.0,8,0.005,3,-25.857207996597708,-40.12032884066222,0.6918715269513469,2.4745430464301603,1.433519620712989,0.5874831542942693,0.7439934937028937,2.280531937633056,14.26312084406451
-1.0,8,0.008,3,-26.21901571555216,-38.32426203534903,0.608244700021431,1.772198702793955,1.5606118499255572,0.6779252995884484,0.6950802280277503,1.7188108553651904,12.10524631979687
-1.0,8,0.012,3,-27.349965971024307,-38.411643512913436,0.5058833776764531,1.1791243745329603,1.599119401694647,0.7735043124097293,0.6335675636601579,1.354180299030627,11.061677541889129
-1.0,8,0.015,3,-27.797491016283715,-36.561061775749494,0.4471346632541855,0.9127762431655425,1.6793576452901453,0.8275661799099927,0.5930331668567136,1.2008322441512769,8.763570759465779
-1.0,8,1.0,5,-54.16954004881812,-21.93736704841989,0.17660765202380108,0.17727425238041236,0.9645197302113301,1.0954011612251158,0.33453985848387735,14.511828879841039,-32.232173000398234
-1.0,16,0.0,3,-25.407954846574956,-45.61460417867358,1.4958015110323337,4.765000700299205,1.764688311053104,0.5913789407477353,0.7425483922815062,3.616762171677553,20.206649332098625
-1.0,32,0.0,3,-25.717633935271717,-42.96378878817532,1.5094382945305664,4.547432889052428,2.28995983196738,0.5977722334731471,0.728574231674111,3.373365055667898,17.246154852903604
0.25,1,0.0,3,-51.41310831497276,-68.78597221999873,1.5806867330452132,3.3767055618306983,0.0,0.8330855420052679,0.6573663725227606,3.0242872746264347,17.372863905025966
0.25,8,1.0,3,-67.59566711467473,-67.46190439026212,0.020572342444211245,0.02056175649237356,0.9252657269845243,1.0798199890089817,0.3333433802173437,26.95008361795561,-0.1337627244126054
0.5,1,0.0,3,-39.42158930418921,-54.117985021872606,1.458975842741669,3.6521804710554946,0.0,0.6896977735673143,0.6995391660049313,3.2628213343073114,14.696395717683394
0.5,1,0.001,3,-39.11983213789476,-53.99337571566222,1.0027028646299747,2.6241683556082473,0.0,0.6538171058144074,0.7129404743512472,2.556319920091681,14.873543577767457
0.5,1,0.01,3,-39.87998033742436,-52.62049988710164,0.38222379933615197,0.9367672112144407,0.0,0.6701423709835511,0.6944999592226059,1.1938496639168328,12.74051954967728
0.5,1,0.1,3,-54.740383471296134,-55.049015826866274,0.07349401441672461,0.0691201497744667,0.0,0.9970196443177312,0.3232629312192156,105.06842231750488,0.3086323555701398
0.5,1,0.2,3,-53.166136048530625,-53.195733867707794,0.03215739524368543,0.031183466789836845,0.0,0.9847536805223246,0.33976663022093434,40.90568759035869,0.029597819177169526
0.5,1,0.5,3,-56.380445501192014,-56.368325759804314,0.02430224602232825,0.0240432821167124,0.0,1.057148085103009,0.3205199428106266,45.261920383067725,-0.01211974138769989
0.5,1,0.8,3,-54.90242592233127,-54.92502102044111,0.005062588995648293,0.004753380674802663,0.0,1.08044189931265,0.31236023044651323,20.286120470755737,0.022595098109839284
0.5,1,1.0,3,-53.61864827890866,-53.58523729459836,0.0025574669001440778,0.002453168832488317,0.0,1.091928991789375,0.319002924232535,6.705798617477626,-0.03341098431030076
0.5,8,0.005,3,-40.458791555602694,-53.621149365367785,0.6928558904942267,1.3107103379697749,1.9358991055540702,0.8122144159072083,0.6219344536463419,1.0705188854795988,13.16235780976509
0.5,8,0.008,3,-40.61725553919057,-53.07333315656484,0.5399621633884034,0.9980885992284682,1.962132582247583,0.822971857799207,0.6139377713854848,0.8460797470449749,12.45607761737427
0.5,8,0.012,3,-40.796303014286224,-52.91705775651775,0.4263923374192962,0.7847912200813085,2.0025414664888643,0.8290462247986611,0.6110277081447872,0.6816531064731827,12.120754742231526
0.5,8,0.015,3,-41.16904661043094,-52.52551215333366,0.3487014319401622,0.6530920079822748,2.0261967208216096,0.821469349939315,0.6175784888814707,0.5418564040478461,11.356465542902718
0.5,8,1.0,3,-59.10555015105368,-59.10174597026221,0.01689826755000716,0.016814223209477428,0.8462881407410395,1.0897476523300338,0.33334771083678055,44.284660044263624,-0.0038041807914694914
1.5,1,0.0,3,-31.896413724930557,-54.41180518937241,1.651563669814438,4.869628499765866,0.0,0.6584000046787366,0.7334117412241431,4.619750170108399,22.51539146444185
1.5,8,1.0,3,-52.655384136679395,-52.583150707307404,0.01091114643457361,0.010896106577564865,0.420143645142887,1.0892156574244056,0.3332948410283021,17.99299550968441,-0.07223342937199106
