algo,sight_range,codebook_size,aux_coef,n_seeds,mean_return,std_return,mean_max_return,mean_test_return
mappo_talk_v2,-1.0,1,0.0,3,-25.117200309461584,0.2938860734155035,-23.799421310424805,-43.70238431294759
mappo_talk_v2,-1.0,1,0.001,3,-25.28730653022808,0.3122079986104526,-23.852150599161785,-48.72878284141666
mappo_talk_v2,-1.0,1,0.01,3,-30.30797951599288,3.303617846089409,-28.879167556762695,-38.593398912356854
mappo_talk_v2,-1.0,1,0.1,3,-39.631748731019066,0.8689045235810623,-37.71027119954427,-39.769801353496284
mappo_talk_v2,-1.0,1,0.2,3,-38.37232420874424,2.1017764039756766,-36.22640482584635,-38.45146781629552
mappo_talk_v2,-1.0,1,0.5,3,-46.34636013885665,4.721467816715519,-44.08694839477539,-46.389478204028855
mappo_talk_v2,-1.0,1,0.8,3,-42.563628108123616,2.6883509455536414,-40.83717727661133,-42.59835613229887
mappo_talk_v2,-1.0,1,1.0,3,-44.73710652127292,1.9516912752390116,-42.58656692504883,-44.71745960047988
mappo_talk_v2,-1.0,2,0.0,3,-24.84528470169651,0.22579864987747414,-23.400510787963867,-43.37964766663932
mappo_talk_v2,-1.0,4,0.0,3,-25.652283861337462,0.5284440438500999,-24.32086690266927,-48.531567995665505
mappo_talk_v2,-1.0,8,0.0,3,-25.314192480076855,0.27811878069166973,-23.888113021850586,-45.85566557170264
mappo_talk_v2,-1.0,8,0.005,3,-25.857207996597708,0.5672049679473322,-24.43103281656901,-40.12032884066222
mappo_talk_v2,-1.0,8,0.008,3,-26.21901571555216,0.943908994818567,-24.890015920003254,-38.32426203534903
mappo_talk_v2,-1.0,8,0.012,3,-27.349965971024307,0.38083159266308275,-26.043147404988606,-38.411643512913436
mappo_talk_v2,-1.0,8,0.015,3,-27.797491016283715,0.33152319856050444,-26.255436579386394,-36.561061775749494
mappo_talk_v2,-1.0,8,1.0,5,-54.16954004881812,24.106993955159503,-53.01612396240235,-21.93736704841989
mappo_talk_v2,-1.0,16,0.0,3,-25.407954846574956,0.31196799033381745,-24.06304868062337,-45.61460417867358
mappo_talk_v2,-1.0,32,0.0,3,-25.717633935271717,0.2299310042420641,-24.307709376017254,-42.96378878817532
mappo_talk_v2,0.25,1,0.0,3,-51.41310831497276,0.3552923489619087,-48.83824030558268,-68.78597221999873
mappo_talk_v2,0.25,8,1.0,6,-69.22159320107534,3.329144636420916,-63.32338333129883,-69.20320673345235
mappo_talk_v2,0.5,1,0.0,3,-39.42158930418921,0.26621076602743704,-36.68332544962565,-54.117985021872606
mappo_talk_v2,0.5,1,0.001,3,-39.11983213789476,0.3517695606390103,-36.79965464274088,-53.99337571566222
mappo_talk_v2,0.5,1,0.01,3,-39.87998033742436,0.20932572007015104,-37.37806955973307,-52.62049988710164
mappo_talk_v2,0.5,1,0.1,3,-54.740383471296134,2.8859580729230117,-47.958106994628906,-55.049015826866274
mappo_talk_v2,0.5,1,0.2,3,-53.166136048530625,3.962483399361985,-48.888623555501304,-53.195733867707794
mappo_talk_v2,0.5,1,0.5,3,-56.380445501192014,3.639075794574616,-50.28924306233724,-56.368325759804314
mappo_talk_v2,0.5,1,0.8,3,-54.90242592233127,1.0470516895560287,-51.01880009969076,-54.92502102044111
mappo_talk_v2,0.5,1,1.0,3,-53.61864827890866,2.225478477684329,-49.96508534749349,-53.58523729459836
mappo_talk_v2,0.5,8,0.005,3,-40.458791555602694,0.2652463946156166,-37.89982350667318,-53.621149365367785
mappo_talk_v2,0.5,8,0.008,3,-40.61725553919057,0.31344642832997394,-38.4152463277181,-53.07333315656484
mappo_talk_v2,0.5,8,0.012,3,-40.796303014286224,0.5337393136927897,-38.52263514200846,-52.91705775651775
mappo_talk_v2,0.5,8,0.015,3,-41.16904661043094,0.5863766839654702,-38.82152557373047,-52.52551215333366
mappo_talk_v2,0.5,8,1.0,3,-59.10555015105368,8.907510473522827,-50.86027399698893,-59.10174597026221
mappo_talk_v2,1.5,1,0.0,3,-31.896413724930557,0.28190531240848676,-30.1204776763916,-54.41180518937241
mappo_talk_v2,1.5,8,1.0,3,-52.655384136679395,1.4897838066533216,-50.2410036722819,-52.583150707307404
mappo_tarmac_mpe,-1.0,-1,-1.0,3,-24.808469793184205,0.41090772620150234,-23.47151056925456,
mappo_tarmac_mpe,0.25,-1,-1.0,3,-51.34195208940349,0.27608528446178016,-48.85310745239258,
mappo_tarmac_mpe,0.5,-1,-1.0,3,-39.21757074783409,0.16650291431730166,-36.997772216796875,
mappo_tarmac_mpe,1.5,-1,-1.0,3,-31.592519265055003,0.6004942149841147,-29.830288569132488,
